name,gas-name,temperature,pressure,gas-critical-temperature,gas-critical-pressure,gas-acentric-factor,gas-molar-mass,target-value
DB5-hypotheticalMOF_33053_0_0_2_0_25_3,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.001177935
DB1-AlO6-mofHTB_No11,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.001600611
DB0-m3_o1_o7_f0_nbo.sym.79,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.001651155
DB0-m9_o2_o2_f0_sra.sym.42,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.001658027
DB1-AlO6-mof200_No4,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.001725298
DB12-EPONAA_clean,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.001729423
DB0-m9_o13_o20_f0_sra.sym.96,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.001747244
DB0-m3_o25_o146_f0_fsc.sym.26,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.001765416
DB1-AlO6-mofHTB_No12,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.001768539
DB0-m2_o1_o9_f0_nbo.sym.104,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.001886095
DB1-AlO6-ADC_A_No4,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.001903507
DB0-m2_o24_o24_f0_nbo.sym.15,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.001913263
DB5-hypotheticalMOF_5060248_2_1_2_12_12_0,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.001967783
DB0-m2_o10_kto,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.001986336
DB5-hypotheticalMOF_5024843_2_0_0_27_16_1,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.003682697
DB0-m2_o14_o20_f0_nbo.sym.99,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.003682726
DB6-cuf_7523,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.003683772
DB7-ddmof_6678,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.00368378
DB5-hypotheticalMOF_5018595_0_0_0_19_12_10,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.003684346
DB5-hypotheticalMOF_5017164_2_0_0_19_25_6,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.00368539
DB0-m3_o9_o23_f0_nbo.sym.68,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.003685407
DB0-m2_o11_o28_f0_nbo.sym.55,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.003686259
DB0-m2_o5_o27_f0_nbo.sym.12,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.003686807
DB0-m3_o21_o26_f0_pcu.sym.2,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.003686844
DB0-m2_o11_o28_f0_nbo.sym.35,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.003686865
DB0-m3_o2_o22_f0_pcu.sym.17,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.003687065
DB0-m3_o6_o28_f0_pcu.sym.82,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.003687556
DB15-pcu_N65_E225_opt,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.003688536
DB0-m2_o14_o25_f0_nbo.sym.10,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.003688821
DB1-Zn2O8N2-ADC_A-DPAC_A_No17,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.003690226
DB1-Zn2O8N2-DPAC_A-irmof20_A_No541,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.003690578
DB7-ddmof_18374,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.003690596
DB0-m2_o11_o24_f0_pcu.sym.84,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.006229771
DB1-Cu2O8N2-BDC_A-DPAC_A_No551,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.006232113
DB0-m3_o24_o52_f0_fsc.sym.14,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.006233476
DB0-m2_o16_o29_f0_pcu.sym.3,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.006235793
DB0-m3_o24_o52_f0_fsc.sym.1,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.006236127
DB0-m1_o41_o20_fsc,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.006236302
DB0-m3_o93_o23_f0_fsc.sym.9,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.0062378
DB0-m3_o7_o15_f0_pcu.sym.35,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.006239632
DB0-m2_o16_o28_f0_pcu.sym.104,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.006242922
DB0-m3_o96_o23_f0_fsc.sym.8,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.006244418
DB0-m3_o25_o115_f0_fsc.sym.41,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.006246779
DB5-hypotheticalMOF_5036689_1_1_1_18_24_0,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.006247286
DB0-m9_o3_o25_f0_sra.sym.58,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.006249674
DB0-m2_o11_o18_f0_pcu.sym.6,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.006251637
DB0-m3_o16_o43_f0_fsc.sym.16,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.01998494
DB0-m3_o52_o13_f0_fsc.sym.4,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.01999637
DB0-m3_o158_o151_f0_fsc.sym.42,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.02000082
DB0-m3_o440_o158_f0_fsc.sym.53,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.020001582
DB0-m3_o43_o155_f0_fsc.sym.37,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.020014297
DB5-hypotheticalMOF_5074449_0_0_2_23_10_12,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.020015015
DB0-m3_o153_o159_f0_fsc.sym.5,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.020023366
DB0-m3_o44_o158_f0_fsc.sym.38,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.020027585
DB0-m3_o153_o13_f0_fsc.sym.7,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.020064401
DB0-m3_o450_o158_f0_fsc.sym.95,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.020080919
DB0-m3_o1520_o155_f0_fsc.sym.12,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.020087474
DB0-m2_o42_o150_f0_fsc,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.020099661
DB0-m3_o148_o159_f0_fsc.sym.2,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.020120077
DB0-m3_o153_o159_f0_fsc.sym.61,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.020124479
DB0-m3_o18_o145_f0_fsc,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.020149918
DB0-m3_o25_o46_f0_fsc.sym.48,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.020165888
DB0-m3_o25_o490_f0_fsc.sym.23,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.020198538
DB0-m3_o155_o44_f0_fsc.sym.26,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.02832644
DB0-m3_o49_o13_f0_fsc.sym.13,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.028338718
DB0-m3_o4_o42_f0_fsc,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.028348768
DB0-m3_o18_o1490_f0_fsc.sym.34,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.028361399
DB0-m3_o1470_o159_f0_fsc.sym.48,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.028363461
DB0-m3_o17_o1500_f0_fsc.sym.16,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.028372284
DB0-m3_o46_o159_f0_fsc.sym.55,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.028377034
DB12-CUVGOQ_freeONLY,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.028383515
DB5-hypotheticalMOF_29125_0_0_2_25_7_12,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.028389449
DB0-m3_o1490_o158_f0_fsc.sym.18,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.028398289
DB0-m3_o153_o155_f0_fsc.sym.77,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.028408436
DB0-m3_o1480_o159_f0_fsc.sym.70,CH4,298.15,1,190.56,4.5992,0.0115,16.043,0.028418998
