name,pressure_bar,temperature_K,target_mol_kg,density_g_cm3,target_cm3_cm3,pred_cm3_cm3,abs_error,rel_error_pct,sf_lcd,sf_pld,sf_vf,status
DB5-hypotheticalMOF_33053_0_0_2_0_25_3,1.0,298.15,0.001178,1.319,0.0348,99.869,99.8341,286687.02,7.08,1.5,0.398,ok
DB1-AlO6-mofHTB_No11,1.0,298.15,0.001601,1.3985,0.0502,100.6917,100.6416,200590.74,7.48,1.5,0.05,ok
DB0-m3_o1_o7_f0_nbo.sym.79,1.0,298.15,0.001651,1.0883,0.0403,108.8432,108.8029,270141.9,14.22,5.13,0.675,ok
DB0-m9_o2_o2_f0_sra.sym.42,1.0,298.15,0.001658,1.2345,0.0459,100.1919,100.146,218292.09,7.63,1.5,0.05,ok
DB1-AlO6-mof200_No4,1.0,298.15,0.001725,0.9144,0.0354,88.1663,88.1309,249241.88,9.52,1.5,0.361,ok
DB12-EPONAA_clean,1.0,298.15,0.001729,0.4952,0.0192,143.3625,143.3433,746718.33,8.14,1.95,0.77,ok
DB0-m9_o13_o20_f0_sra.sym.96,1.0,298.15,0.001747,1.1656,0.0456,90.8173,90.7717,198844.29,8.18,1.5,0.05,ok
DB0-m3_o25_o146_f0_fsc.sym.26,1.0,298.15,0.001765,1.0887,0.0431,103.6734,103.6303,240547.71,6.23,1.5,0.244,ok
DB1-AlO6-mofHTB_No12,1.0,298.15,0.001769,0.7877,0.0312,74.9363,74.9051,239907.27,7.48,1.5,0.314,ok
DB0-m2_o1_o9_f0_nbo.sym.104,1.0,298.15,0.001886,1.1558,0.0489,125.6318,125.583,257011.7,7.51,3.86,0.548,ok
DB1-AlO6-ADC_A_No4,1.0,298.15,0.001904,0.5013,0.0214,83.3495,83.3281,389600.22,11.52,1.5,0.47,ok
DB0-m2_o24_o24_f0_nbo.sym.15,1.0,298.15,0.001913,0.6893,0.0296,103.1727,103.1432,348933.87,12.15,4.96,0.514,ok
DB5-hypotheticalMOF_5060248_2_1_2_12_12_0,1.0,298.15,0.001968,1.055,0.0465,135.6914,135.6449,291521.11,4.72,1.5,0.352,ok
DB0-m2_o10_kto,1.0,298.15,0.001986,0.6009,0.0268,105.0202,104.9934,392437.08,9.53,3.54,0.659,ok
DB5-hypotheticalMOF_5024843_2_0_0_27_16_1,1.0,298.15,0.003683,0.3672,0.0303,142.0611,142.0308,468641.63,8.52,3.14,0.738,ok
DB0-m2_o14_o20_f0_nbo.sym.99,1.0,298.15,0.003683,0.4374,0.0361,116.3126,116.2765,322067.26,12.26,4.79,0.648,ok
