epoch,timestamp,num_updates,lr,train_loss,valid_loss,test_loss,valid_r2,test_r2,grad_norm,grad_clip_pct
5,2026-07-09 18:45:10,12257,6.49206e-05,0.007,0.005,0.007,0.9847,0.9843,2.393,79.9
6,2026-07-09 18:59:46,14144,7.49153e-05,0.004,0.005,0.006,0.9874,0.9864,1.942,73.0
7,2026-07-09 19:14:24,16031,8.491e-05,0.004,0.005,0.005,0.9847,0.9845,1.905,70.6
8,2026-07-09 19:29:02,17918,9.49047e-05,0.003,0.004,0.005,0.9885,0.9884,1.913,70.2
9,2026-07-09 19:43:36,19805,9.94556e-05,0.003,0.003,0.005,0.9902,0.9908,1.979,72.1
10,2026-07-09 19:58:13,21692,9.83451e-05,0.003,0.004,0.005,0.9885,0.9893,1.939,70.0
11,2026-07-09 20:12:50,23579,9.72346e-05,0.003,0.003,0.006,0.9916,0.9904,1.884,68.1
12,2026-07-09 20:27:26,25466,9.61241e-05,0.002,0.004,0.006,0.9912,0.9905,2.092,72.2
13,2026-07-09 21:07:21,27353,9.50135e-05,0.002,0.004,0.005,0.9907,0.9909,2.079,72.3
14,2026-07-09 21:22:04,29240,9.3903e-05,0.002,0.004,0.005,0.9924,0.9921,1.959,70.5
15,2026-07-09 21:36:44,31127,9.27925e-05,0.002,0.004,0.005,0.9897,0.9898,2.011,70.7
16,2026-07-09 21:51:22,33014,9.1682e-05,0.002,0.004,0.005,0.992,0.992,2.096,71.7
17,2026-07-09 22:06:01,34901,9.05714e-05,0.002,0.005,0.005,0.9889,0.9891,2.124,72.3
18,2026-07-09 22:20:35,36788,8.94609e-05,0.002,0.003,0.005,0.9918,0.9921,1.989,69.7
19,2026-07-09 22:35:11,38675,8.83504e-05,0.002,0.004,0.005,0.9907,0.9915,2.082,72.7
20,2026-07-09 22:49:49,40562,8.72399e-05,0.002,0.004,0.005,0.9919,0.9921,2.035,70.1
21,2026-07-09 23:04:27,42449,8.61294e-05,0.002,0.004,0.004,0.9926,0.9924,2.066,70.4
22,2026-07-09 23:19:05,44336,8.50188e-05,0.002,0.004,0.006,0.9908,0.9913,2.122,71.1
23,2026-07-09 23:33:45,46223,8.39083e-05,0.002,0.005,0.005,0.9906,0.9914,1.956,68.8
24,2026-07-09 23:48:22,48110,8.27978e-05,0.002,0.004,0.005,0.9873,0.9869,1.977,70.0
25,2026-07-10 00:03:00,49997,8.16873e-05,0.002,0.005,0.005,0.9891,0.9895,1.852,66.9
26,2026-07-10 00:17:38,51884,8.05767e-05,0.002,0.005,0.006,0.9843,0.9845,1.989,68.8
27,2026-07-10 00:32:17,53771,7.94662e-05,0.002,0.003,0.005,0.9915,0.9918,1.932,68.6
28,2026-07-10 00:46:57,55658,7.83557e-05,0.001,0.004,0.006,0.9876,0.988,1.856,65.9
29,2026-07-10 01:01:35,57545,7.72452e-05,0.001,0.003,0.004,0.9922,0.9928,1.836,65.9
30,2026-07-10 01:16:14,59432,7.61347e-05,0.001,0.003,0.005,0.9923,0.9923,1.713,65.4
31,2026-07-10 01:30:51,61319,7.50241e-05,0.001,0.003,0.004,0.9917,0.9923,1.756,63.5
32,2026-07-10 01:45:28,63206,7.39136e-05,0.001,0.003,0.005,0.9914,0.9922,1.761,63.9
33,2026-07-10 02:00:05,65093,7.28031e-05,0.001,0.003,0.004,0.9931,0.993,1.685,64.2
34,2026-07-10 02:14:42,66980,7.16926e-05,0.001,0.003,0.005,0.9905,0.9911,1.693,64.7
35,2026-07-10 02:29:21,68867,7.0582e-05,0.001,0.004,0.005,0.9916,0.9914,1.728,64.0
36,2026-07-10 02:44:01,70754,6.94715e-05,0.001,0.003,0.004,0.9922,0.9928,1.636,60.3
37,2026-07-10 02:58:39,72641,6.8361e-05,0.001,0.003,0.004,0.9924,0.9932,1.54,60.5
