cif,pressure_bar,temperature_K,pred,target,abs_error
tobmof-9624,0.7781513,298.0,26.690945468084912,28.0,1.3090545319150877
tobmof-9624,1.1230719,298.0,108.18179197079645,73.0,35.18179197079645
tobmof-9624,1.4679927,298.0,119.67858622127667,118.0,1.6785862212766745
tobmof-9624,1.8129133,298.0,167.31327679816252,163.0,4.313276798162519
tobmof-9624,1.8752756,298.0,181.69903614569063,176.3333282470703,5.365707898620315
tobmof-9624,1.9376378,298.0,196.81716025515985,189.6666717529297,7.150488502230161
tobmof-9624,2.0,298.0,208.8198550305711,203.0,5.819855030571091
tobmof-12224,0.7781513,298.0,16.946276006569352,16.0,0.9462760065693523
tobmof-12224,1.1230719,298.0,105.64422013977027,54.0,51.64422013977027
tobmof-12224,1.4679927,298.0,93.73373004573064,92.0,1.7337300457306384
tobmof-12224,1.8129133,298.0,132.2911884132334,130.0,2.2911884132334137
tobmof-12224,1.8752756,298.0,147.49749540551886,145.6666717529297,1.8308236525891743
tobmof-12224,1.9376378,298.0,165.21054760796792,161.3333282470703,3.8772193608976124
tobmof-12224,2.0,298.0,182.31846442249557,177.0,5.318464422495566
tobmof-10539,0.7781513,298.0,9.024796702372761,9.0,0.024796702372761104
tobmof-10539,1.1230719,298.0,62.743787308096096,36.0,26.743787308096096
tobmof-10539,1.4679927,298.0,64.27988181579394,63.0,1.2798818157939422
tobmof-10539,1.8129133,298.0,93.41041641374734,90.0,3.410416413747342
tobmof-10539,1.8752756,298.0,107.01962892796529,105.0,2.019628927965286
tobmof-10539,1.9376378,298.0,122.28810534582573,120.0,2.288105345825727
tobmof-10539,2.0,298.0,139.2044824687483,135.0,4.204482468748296
tobmof-3001,0.7781513,298.0,14.820685877617636,14.0,0.8206858776176365
tobmof-3001,1.1230719,298.0,108.38314063977543,50.66666793823242,57.71647270154301
tobmof-3001,1.4679927,298.0,93.81452784629228,87.33333587646484,6.481191969827435
tobmof-3001,1.8129133,298.0,133.05316081850603,124.0,9.05316081850603
tobmof-3001,1.8752756,298.0,149.766263821132,140.0,9.766263821131986
tobmof-3001,1.9376378,298.0,167.9656565244913,156.0,11.965656524491294
tobmof-3001,2.0,298.0,185.14716825095942,172.0,13.147168250959425
tobmof-2509,0.7781513,298.0,18.45360538153945,18.0,0.4536053815394503
tobmof-2509,1.1230719,298.0,122.20578626190694,64.0,58.20578626190694
tobmof-2509,1.4679927,298.0,112.21663119448186,110.0,2.216631194481863
tobmof-2509,1.8129133,298.0,159.15346057307875,156.0,3.153460573078746
tobmof-2509,1.8752756,298.0,177.0350500895381,171.6666717529297,5.3683783366084015
tobmof-2509,1.9376378,298.0,194.68477446093385,187.3333282470703,7.3514462138635395
tobmof-2509,2.0,298.0,210.87094974601686,203.0,7.870949746016862
tobmof-2141,0.7781513,298.0,11.50823210285416,10.0,1.5082321028541603
tobmof-2141,1.1230719,298.0,92.04291073772735,41.0,51.042910737727354
tobmof-2141,1.4679927,298.0,82.22834645995688,72.0,10.228346459956882
tobmof-2141,1.8129133,298.0,119.69735451868219,103.0,16.69735451868219
tobmof-2141,1.8752756,298.0,134.85917026561458,120.33333587646484,14.525834389149736
tobmof-2141,1.9376378,298.0,152.45347793600436,137.6666717529297,14.786806183074674
